n_ABS,Method,CR
5,map-elites,0.656153000664711
5,mutation-kmeans,0.6333460003346205
5,naive-kmeans,0.5626239969581366
6,map-elites,0.7368489993572235
6,mutation-kmeans,0.7321609958648682
6,naive-kmeans,0.6530790031760931
7,map-elites,0.7878729995667935
7,mutation-kmeans,0.7844729977726936
7,naive-kmeans,0.7225250013291836
8,map-elites,0.8375439977109432
8,mutation-kmeans,0.8348149982273578
8,naive-kmeans,0.7756199981033802
9,map-elites,0.8621639969348908
9,mutation-kmeans,0.8681249970376491
9,naive-kmeans,0.8203009975254536
10,map-elites,0.8840760005295276
10,mutation-kmeans,0.891571001791954
10,naive-kmeans,0.8511279999911785
