n_GU,Method,CR
75,map-elites,0.6944693358361721
75,mutation-kmeans,0.6659586679309607
75,naive-kmeans,0.5924373332053423
100,map-elites,0.6591110006690025
100,mutation-kmeans,0.6345120004296303
100,naive-kmeans,0.5626239969581366
125,map-elites,0.6442000023126602
125,mutation-kmeans,0.620531201595068
125,naive-kmeans,0.548472003415227
150,map-elites,0.6410486643880605
150,mutation-kmeans,0.6087600014597178
150,naive-kmeans,0.5522006653040648
175,map-elites,0.6481108544111251
175,mutation-kmeans,0.6214639998555184
175,naive-kmeans,0.5652131466805935
200,map-elites,0.6314860003709794
200,mutation-kmeans,0.609888499751687
200,naive-kmeans,0.5472449974060059
