n_BM,Method,CR
0,map-elites,0.6914575005292892
0,mutation-kmeans,0.6285474985092878
0,naive-kmeans,0.5748300020337105
100,map-elites,0.5501799975395203
100,mutation-kmeans,0.49075749681890013
100,naive-kmeans,0.4296300041899085
200,map-elites,0.42900499776899814
200,mutation-kmeans,0.35439249959290026
200,naive-kmeans,0.2548875018944964
300,map-elites,0.3632625002622604
300,mutation-kmeans,0.2781275007225573
300,naive-kmeans,0.16952000091075897
400,map-elites,0.2983525010764599
400,mutation-kmeans,0.19774500085487962
400,naive-kmeans,0.12093000197373331
