episode,top_1,top_3,top_5,top_10,top_k
0,1.0,1.0,0.6,0.6,0.3
1,1.0,1.0,0.6,0.4,0.35
2,0.0,0.6666666666666666,0.8,0.8,0.6
3,1.0,1.0,0.8,0.8,0.725
4,1.0,1.0,0.8,0.6,0.25
5,1.0,1.0,0.8,0.6,0.35
6,1.0,1.0,0.8,0.9,0.625
7,1.0,1.0,1.0,0.6,0.325
8,1.0,0.6666666666666666,0.4,0.3,0.3
9,1.0,0.6666666666666666,0.4,0.4,0.35
10,1.0,0.3333333333333333,0.6,0.5,0.475
11,1.0,1.0,0.8,0.8,0.4
12,1.0,1.0,1.0,1.0,0.75
13,1.0,0.6666666666666666,0.6,0.6,0.375
14,1.0,1.0,0.8,0.8,0.5
15,1.0,0.6666666666666666,0.6,0.5,0.325
16,1.0,1.0,1.0,1.0,0.5
17,1.0,0.6666666666666666,0.6,0.6,0.475
18,0.0,0.0,0.0,0.0,0.125
19,1.0,1.0,0.8,0.8,0.55
20,1.0,1.0,1.0,0.6,0.375
21,1.0,0.6666666666666666,0.8,0.7,0.425
22,1.0,1.0,0.6,0.8,0.575
23,1.0,1.0,1.0,0.7,0.6
24,1.0,1.0,1.0,0.7,0.525
25,0.0,0.3333333333333333,0.2,0.4,0.325
26,1.0,1.0,0.8,0.6,0.5
27,1.0,0.6666666666666666,0.8,0.5,0.25
28,1.0,1.0,1.0,0.9,0.5
29,1.0,1.0,0.8,0.5,0.5
30,1.0,1.0,0.8,0.5,0.35
31,1.0,1.0,1.0,1.0,0.5
32,1.0,1.0,1.0,0.8,0.4
33,1.0,1.0,1.0,1.0,0.6
34,1.0,1.0,1.0,0.8,0.575
35,1.0,1.0,1.0,1.0,0.45
36,1.0,1.0,1.0,0.6,0.4
37,1.0,0.6666666666666666,0.6,0.6,0.425
38,1.0,1.0,1.0,0.8,0.45
39,1.0,1.0,0.8,0.8,0.625
40,1.0,1.0,1.0,0.9,0.65
41,1.0,1.0,1.0,0.9,0.525
42,1.0,1.0,0.8,0.6,0.35
43,1.0,1.0,1.0,1.0,0.475
44,1.0,0.6666666666666666,0.6,0.7,0.375
45,1.0,0.6666666666666666,0.8,0.7,0.425
46,1.0,1.0,1.0,0.7,0.5
47,1.0,0.6666666666666666,0.8,0.7,0.475
48,1.0,0.6666666666666666,0.8,0.8,0.425
49,1.0,1.0,0.8,0.9,0.375
50,1.0,1.0,0.8,0.8,0.55
51,1.0,1.0,0.6,0.6,0.45
52,0.0,0.6666666666666666,0.6,0.7,0.4
53,1.0,1.0,1.0,0.8,0.425
54,1.0,1.0,1.0,1.0,0.425
55,1.0,0.6666666666666666,0.8,0.5,0.375
56,1.0,1.0,0.8,0.6,0.375
57,1.0,1.0,1.0,1.0,0.475
58,1.0,1.0,0.8,0.8,0.425
59,1.0,1.0,0.8,0.6,0.425
60,1.0,1.0,0.8,0.6,0.475
61,0.0,0.6666666666666666,0.6,0.4,0.325
62,0.0,0.0,0.2,0.2,0.275
63,1.0,1.0,0.8,0.8,0.475
64,0.0,0.3333333333333333,0.6,0.3,0.3
65,1.0,1.0,0.8,0.7,0.45
66,1.0,1.0,1.0,0.7,0.425
67,1.0,0.6666666666666666,0.8,0.8,0.45
68,1.0,1.0,1.0,0.9,0.6
69,0.0,0.3333333333333333,0.4,0.6,0.35
70,0.0,0.6666666666666666,0.6,0.5,0.325
71,1.0,0.3333333333333333,0.6,0.5,0.375
72,1.0,0.6666666666666666,0.8,0.8,0.4
73,1.0,0.6666666666666666,0.6,0.5,0.35
74,1.0,1.0,0.6,0.7,0.425
75,1.0,1.0,0.8,0.7,0.45
76,0.0,0.6666666666666666,0.8,0.8,0.475
77,1.0,0.6666666666666666,0.8,0.7,0.375
78,1.0,0.6666666666666666,0.4,0.5,0.3
79,1.0,0.6666666666666666,0.6,0.5,0.475
80,1.0,1.0,1.0,0.5,0.175
81,1.0,0.3333333333333333,0.4,0.4,0.4
82,1.0,0.6666666666666666,0.6,0.7,0.5
83,1.0,1.0,0.6,0.6,0.525
84,1.0,1.0,1.0,1.0,0.65
85,0.0,0.3333333333333333,0.4,0.3,0.2
86,1.0,0.6666666666666666,0.6,0.5,0.225
87,1.0,1.0,1.0,0.8,0.725
88,1.0,1.0,1.0,1.0,0.575
89,1.0,1.0,1.0,0.9,0.5
90,1.0,1.0,1.0,0.9,0.5
91,0.0,0.3333333333333333,0.4,0.4,0.4
92,1.0,1.0,1.0,0.7,0.375
93,0.0,0.6666666666666666,0.8,0.7,0.45
94,1.0,1.0,0.8,0.9,0.55
95,1.0,1.0,0.6,0.6,0.425
96,1.0,1.0,0.6,0.6,0.55
97,1.0,1.0,0.8,0.7,0.425
98,1.0,1.0,1.0,0.9,0.625
99,1.0,0.6666666666666666,0.6,0.4,0.35
