episode,top_1,top_3,top_5,top_10,top_k
0,0.025,0.25,0.6,1.0,1.0
1,0.0,0.1,0.475,0.95,1.0
2,0.025,0.075,0.4,0.95,1.0
3,0.05,0.275,0.725,1.0,1.0
4,0.0,0.15,0.425,0.975,1.0
5,0.025,0.125,0.35,0.9,1.0
6,0.025,0.1,0.225,0.9,1.0
7,0.025,0.25,0.65,1.0,1.0
8,0.025,0.125,0.425,0.975,1.0
9,0.025,0.125,0.5,1.0,1.0
10,0.025,0.325,0.65,1.0,1.0
11,0.075,0.4,0.8,1.0,1.0
12,0.025,0.2,0.575,0.975,1.0
13,0.025,0.25,0.65,0.975,1.0
14,0.175,0.475,0.775,1.0,1.0
15,0.05,0.325,0.75,1.0,1.0
16,0.025,0.225,0.55,0.975,1.0
17,0.025,0.15,0.45,1.0,1.0
18,0.0,0.05,0.125,0.85,1.0
19,0.025,0.1,0.45,0.975,1.0
20,0.1,0.375,0.65,1.0,1.0
21,0.025,0.275,0.8,1.0,1.0
22,0.025,0.15,0.45,0.975,1.0
23,0.025,0.1,0.375,0.975,1.0
24,0.05,0.35,0.625,1.0,1.0
25,0.025,0.15,0.475,1.0,1.0
26,0.05,0.175,0.65,1.0,1.0
27,0.05,0.075,0.25,0.975,1.0
28,0.05,0.175,0.5,1.0,1.0
29,0.05,0.2,0.5,1.0,1.0
30,0.025,0.125,0.35,0.925,1.0
31,0.05,0.3,0.625,1.0,1.0
32,0.025,0.075,0.375,0.925,1.0
33,0.025,0.175,0.425,0.925,1.0
34,0.025,0.125,0.375,0.95,1.0
35,0.1,0.175,0.45,0.975,1.0
36,0.0,0.225,0.525,1.0,1.0
37,0.025,0.125,0.4,1.0,1.0
38,0.025,0.125,0.275,0.9,1.0
39,0.025,0.275,0.7,1.0,1.0
40,0.025,0.1,0.15,0.925,1.0
41,0.05,0.25,0.625,1.0,1.0
42,0.025,0.2,0.35,1.0,1.0
43,0.025,0.1,0.325,0.9,1.0
44,0.1,0.35,0.7,1.0,1.0
45,0.025,0.225,0.625,1.0,1.0
46,0.025,0.1,0.275,0.975,1.0
47,0.025,0.1,0.275,0.9,1.0
48,0.05,0.25,0.5,1.0,1.0
49,0.025,0.125,0.225,0.825,1.0
50,0.025,0.075,0.225,0.975,1.0
51,0.025,0.175,0.45,0.975,1.0
52,0.025,0.2,0.675,1.0,1.0
53,0.1,0.325,0.65,1.0,1.0
54,0.05,0.25,0.525,0.975,1.0
55,0.05,0.15,0.45,1.0,1.0
56,0.05,0.35,0.775,1.0,1.0
57,0.05,0.3,0.575,1.0,1.0
58,0.075,0.2,0.425,0.925,1.0
59,0.05,0.3,0.675,1.0,1.0
60,0.025,0.225,0.475,1.0,1.0
61,0.0,0.125,0.4,0.95,1.0
62,0.0,0.2,0.475,1.0,1.0
63,0.025,0.1,0.475,1.0,1.0
64,0.075,0.15,0.45,0.925,1.0
65,0.025,0.1,0.45,1.0,1.0
66,0.05,0.325,0.625,1.0,1.0
67,0.075,0.225,0.45,0.95,1.0
68,0.025,0.125,0.35,0.9,1.0
69,0.025,0.125,0.35,1.0,1.0
70,0.05,0.15,0.4,1.0,1.0
71,0.025,0.125,0.45,0.95,1.0
72,0.025,0.275,0.475,1.0,1.0
73,0.05,0.125,0.35,1.0,1.0
74,0.025,0.125,0.375,0.925,1.0
75,0.025,0.225,0.625,1.0,1.0
76,0.05,0.1,0.225,0.825,1.0
77,0.025,0.2,0.525,0.95,1.0
78,0.025,0.175,0.4,1.0,1.0
79,0.05,0.175,0.6,1.0,1.0
80,0.05,0.175,0.625,1.0,1.0
81,0.025,0.225,0.65,0.975,1.0
82,0.025,0.125,0.25,0.925,1.0
83,0.125,0.3,0.7,1.0,1.0
84,0.025,0.15,0.45,0.95,1.0
85,0.025,0.125,0.375,1.0,1.0
86,0.0,0.175,0.6,1.0,1.0
87,0.05,0.1,0.225,0.9,1.0
88,0.025,0.2,0.4,0.925,1.0
89,0.025,0.075,0.325,1.0,1.0
90,0.025,0.075,0.375,1.0,1.0
91,0.075,0.225,0.6,1.0,1.0
92,0.05,0.125,0.375,0.975,1.0
93,0.025,0.15,0.5,1.0,1.0
94,0.025,0.1,0.475,1.0,1.0
95,0.025,0.1,0.425,0.925,1.0
96,0.025,0.15,0.325,0.925,1.0
97,0.05,0.325,0.525,1.0,1.0
98,0.05,0.175,0.55,0.975,1.0
99,0.025,0.15,0.3,0.95,1.0
