Episode,Top 1,Top 2,Top 3,Top 5,Top 10,Top k,n_BM,n_ABS,n_GU,Collect Strategy,Method,Explore:Serve
0,0.0,0.0,0.1,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
1,0.0,0.1,0.1,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
2,0.1,0.2,0.3,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
3,0.2,0.4,0.4,0.9,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
4,0.0,0.1,0.3,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
5,0.0,0.0,0.0,0.4,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
6,0.1,0.1,0.3,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
7,0.1,0.3,0.5,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
8,0.1,0.2,0.3,0.9,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
9,0.1,0.3,0.3,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
10,0.0,0.0,0.5,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
11,0.2,0.4,0.8,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
12,0.1,0.3,0.4,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
13,0.1,0.3,0.4,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
14,0.4,0.7,0.9,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
15,0.0,0.2,0.4,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
16,0.0,0.2,0.5,0.9,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
17,0.0,0.1,0.2,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
18,0.0,0.1,0.1,0.4,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
19,0.1,0.2,0.2,0.7,0.9,0.9,200,5,100,default,mutation-kmeans,10:90
20,0.3,0.4,0.5,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
21,0.1,0.2,0.4,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
22,0.1,0.2,0.2,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
