Episode,Top 1,Top 2,Top 3,Top 5,Top 10,Top k,n_BM,n_ABS,n_GU,Collect Strategy,Method,Explore:Serve
0,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
1,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
2,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
3,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
4,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
5,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
6,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
7,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
8,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
9,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
10,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
11,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
12,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
13,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
14,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
15,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
16,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
17,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
18,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
19,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
20,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
21,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
22,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
23,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
24,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
25,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
26,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
27,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
28,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
29,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
30,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
31,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
32,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
33,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
34,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
35,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
36,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
37,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
38,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
39,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
40,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
41,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
42,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
43,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
44,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
45,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
46,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
47,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
48,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
49,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
50,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
51,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
52,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
53,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
54,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
55,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
56,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
57,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
58,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
59,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
